mantaghe,tedad kol tabaghat,vahed,Mablaghe kol,metri,tabaghe,zir bana,khab,Balkon,telephone,ashpazkhaneh,open,behdashti,kafpoosh,parking,anbari,sen,nama,sanad,گاز,آسانسور,آیفون تصویری,کولر,درب ریموت کنترل,شوفاژ,پکیج,باز سازی شده,جکوزی,سونا,استخر,لابی,داکت اسپلیت,چیلر,روف گاردن,مسترروم,فاقد آسانسور,اسپلیت,سرویس مستخدم: سرايدار,سالن اجتماعات,فن کوئل,سالن بدنسازی,دوربین مداربسته,برق اضطراری,فلت,گرمایشی از کف,اعلام حریق,اطفاء حریق,جاروبرقی مرکزی,درب ضد سرقت,لندری,مبله,فروش با مستاجر,آنتن مرکزی,حیاط خلوت,سرویس مستخدم: دارد,باربیکیو,تابلو خور,سالن کنفرانس,سرویس مستخدم: نگهبان,هواساز,ماهواره مرکزی,شوتینگ زباله,سرویس مستخدم: لابي من,سرویس مستخدم: نگهبان/سرايدار
Pasdaran,4,,16835000000,185000000,4,91,2,1,1,MDF,1,Persian-Western,Ceramic,1,1,0-5,Stone,Personal,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gheytarieh,4,1,21000000000,147880000,3,142,3,1,1,MDF,1,Persian,Parquet,1,1,20-30,Stone,Personal,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farmanieh,2,2,,,2,144,3,1,1,MDF,1,Persian,Parquet,1,1,20-30,Stone,Personal,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasdaran,5,3,,,4,105,2,0,1,Pantry,0,Persian-Western,Ceramic,1,1,0-5,Stone,Residential,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasdaran,5,3,,,4,105,2,0,1,Pantry,0,Persian-Western,Ceramic,1,1,0-5,Stone,Residential,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirdamad,5,2,35700000000,210000000,4,170,3,1,1,MDF,1,Persian-Western,Ceramic,1,1,0-5,Stone,Personal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrus,5,1,43250000000,250000000,2,173,3,1,1,Membrane,1,Persian-Western,Stone,1,1,0-5,Stone,Endowment,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gheytarieh,4,1,16000000000,144140000,4,111,2,0,1,MDF,1,Persian-Western,Ceramic,0,1,30+,Stone,Personal,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasdaran,5,3,,,4,105,2,0,1,Pantry,0,Persian-Western,Ceramic,1,1,0-5,Stone,Residential,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niavaran,6,4,20500000000,205000000,1,100,2,1,1,MDF,1,Persian-Western,Laminate,1,1,5-10,Stone,Personal,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasdaran,5,3,,,4,105,2,0,1,Pantry,0,Persian-Western,Ceramic,1,1,0-5,Stone,Residential,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farmanieh,10,2,38000000000,248360000,4,153,3,1,1,Custom,0,Persian-Western,Ceramic,1,1,0-5,Stone,Personal,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasdaran,5,3,,,4,105,2,0,1,Pantry,0,Persian-Western,Ceramic,1,1,0-5,Stone,Residential,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrus,5,2,33600000000,240000000,2,140,3,1,1,High-gloss,1,Persian-Western,Ceramic,1,1,0-5,Stone,Personal,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gheytarieh,5,,,,1,98,2,1,1,MDF,1,Persian-Western,Parquet,1,1,5-10,Stone,Personal,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gheytarieh,5,2,25000000000,174820000,3,143,3,1,1,MDF,1,Persian-Western,Parquet,1,1,15-20,Stone,Personal,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,,,,,1,80,2,0,1,MDF,1,Persian-Western,Ceramic,1,1,10-15,Cement,Personal,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gheytarieh,5,2,33000000000,220000000,1,150,3,1,1,MDF,1,Persian-Western,Stone,1,1,10-15,Stone,Personal,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirdamad,5,2,22000000000,157140000,5,140,3,0,1,MDF,1,Persian-Western,Stone,1,1,20-30,Stone,Personal,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niavaran,4,1,10400000000,148570000,3,70,2,0,1,MDF,1,Persian-Western,Stone,0,1,10-15,Stone,Personal,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrus,4,2,13000000000,136840000,3,95,2,1,1,MDF,0,Persian-Western,Ceramic,1,1,30+,Stone,Personal,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aghdasieh,12,4,48000000000,240000000,8,200,3,0,1,MDF,0,Persian-Western,Stone,1,1,10-15,Stone,Personal,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,,,,125000000,4,48,1,0,1,High-gloss,1,Persian,Ceramic Parquet,0,1,15-20,Stone,Personal,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darband,5,2,,,2,146,3,1,1,MDF,1,Persian-Western,Ceramic,1,1,15-20,Stone,Personal,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gheytarieh,6,5,30800000000,280000000,,110,2,0,1,High-gloss,1,Persian-Western,Stone,1,1,0-5,Composite,Personal,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mirdamad,4,1,11500000000,103600000,4,111,2,1,1,MDF,1,Persian-Western,Stone,1,0,30+,Stone,Personal,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farmanieh,4,1,24000000000,320000000,1,75,1,0,1,Pantry,1,Western,Laminate,0,1,5-10,Stone,Residential,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gheytarieh,5,1,82600000000,280000000,,295,4,1,1,Neo-classic,0,Persian-Western,Stone,1,1,0-5,Stone,Personal,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farmanieh,5,2,,,3,116,2,1,1,High-gloss,1,Persian-Western,Ceramic,1,1,10-15,Stone,Personal,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niavaran,6,2,42900000000,330000000,6,130,2,1,1,MDF,1,Persian-Western,Ceramic,1,1,0-5,Composite,Personal,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farmanieh,5,2,,,3,116,2,1,1,High-gloss,1,Persian-Western,Ceramic,1,1,10-15,Stone,Personal,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirdamad,4,1,11500000000,103600000,4,111,2,1,1,MDF,1,Persian-Western,Stone,1,0,30+,Stone,Personal,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farmanieh,4,1,24000000000,320000000,1,75,1,0,1,Pantry,1,Western,Laminate,0,1,5-10,Stone,Residential,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirdamad,4,1,,,1,250,5,0,1,MDF,1,Persian-Western,Ceramic,1,1,20-30,Stone,Residential,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gholhak,5,2,23520000000,240000000,4,98,2,1,1,MDF,1,Persian-Western,Ceramic,1,1,5-10,Stone,Personal,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aghdasieh,2,1,22000000000,157140000,1,140,4,0,1,Pantry,0,Persian,Ceramic,0,1,20-30,Stone,Endowment,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aghdasieh,4,1,10000000000,111110000,2,90,2,1,1,MDF,1,Persian-Western,Ceramic,0,1,20-30,Stone,Promissory,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasdaran,6,1,60000000000,260860000,5,230,3,1,1,High-gloss,1,Persian-Western,Stone,1,1,0-5,Stone,Personal,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ekhtiarieh,5,1,32400000000,180000000,5,180,3,0,1,MDF,1,Persian-Western,Stone,1,0,0-5,Stone,Personal,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gheytarieh,9,3,39000000000,312000000,3,125,2,1,1,MDF,1,Persian-Western,Stone,1,1,0-5,Stone,Personal,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niavaran,6,2,19500000000,250000000,3,78,2,1,1,High-gloss,1,Persian-Western,Ceramic,1,1,5-10,Stone,Personal,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasdaran,5,2,26000000000,226080000,5,115,2,1,1,MDF,1,Western,Stone,1,1,10-15,Stone,Personal,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farmanieh,5,2,45000000000,300000000,4,150,3,1,1,MDF,1,Persian-Western,Stone,1,1,0-5,Stone,Personal,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gheytarieh,5,1,68150000000,290000000,5,235,3,1,1,Wooden,1,Persian-Western,Parquet,1,1,5-10,Composite,Personal,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aghdasieh,4,1,,,2,126,3,1,1,MDF,1,Persian-Western,Stone,1,1,15-20,Stone,Personal,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,,,31920000000,280000000,6,114,1,0,1,Pantry,0,Persian-Western,Ceramic,1,0,5-10,Stone,Personal,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gheytarieh,3,1,40000000000,185180000,1,216,3,1,1,MDF,1,Persian-Western,Stone,1,1,20-30,Stone,Personal,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasdaran,5,4,25000000000,294110000,1,85,3,1,1,Pantry,0,Persian,Carpet,1,1,10-15,Stone,Residential,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Farmanieh,4,1,20000000000,142850000,4,140,3,1,1,MDF,1,Persian-Western,Ceramic,1,1,20-30,Stone,Personal,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirdamad,5,,,,3,150,3,1,1,High-gloss,1,Persian-Western,Parquet,1,1,20-30,Stone,Personal,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirdamad,5,,,,3,150,3,1,1,High-gloss,1,Persian-Western,Parquet,1,1,20-30,Stone,Personal,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aghdasieh,6,4,,,1,198,3,1,1,High-gloss,1,Persian-Western,Stone,1,1,0-5,Stone,Personal,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrus,4,4,15000000000,234370000,4,64,1,1,1,MDF,1,Persian-Western,Parquet,1,1,20-30,Unknown,Personal,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niavaran,5,1,70200000000,270000000,4,260,4,1,1,Neo-classic (Furnished),1,Persian-Western,Ceramic,1,1,15-20,Stone,Personal,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajrish,3,1,6500000000,144440000,1,45,1,1,1,MDF,1,Persian-Western,Ceramic,0,1,20-30,Stone,Personal,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gholhak,5,2,17700000000,155260000,4,114,2,0,1,MDF,1,Persian-Western,Parquet,1,1,30+,Stone,Personal,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
